product_id,product_name,category,category_id,product_price,product_status,department_id,department_name
1360,Smart watch ,Sporting Goods,73,327.75,0,2,Fitness
365,Perfect Fitness Perfect Rip Deck,Cleats,17,59.99000168,0,4,Apparel
627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,29,39.99000168,0,5,Golf
502,Nike Men's Dri-FIT Victory Golf Polo,Women'S Apparel,24,50.0,0,5,Golf
278,Under Armour Men's Compression EV SL Slide,Electronics,13,44.99000168,0,3,Footwear
249,Under Armour Women's Micro G Skulpt Running S,Boxing & Mma,12,54.97000122,0,3,Footwear
191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,9,99.98999786,0,3,Footwear
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,Trade-In,41,21.98999977,0,6,Outdoors
828,Bridgestone e6 Straight Distance NFL San Dieg,Electronics,37,31.98999977,0,6,Outdoors
642,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,29,30.0,0,5,Golf
818,Titleist Pro V1x Golf Balls,Electronics,37,47.99000168,0,6,Outdoors
825,Bridgestone e6 Straight Distance NFL Tennesse,Electronics,37,31.98999977,0,6,Outdoors
306,Polar FT4 Heart Rate Monitor,Kids' Golf Clubs,38,89.98999786,0,6,Outdoors
977,ENO Atlas Hammock Straps,Hunting & Shooting,44,29.98999977,0,7,Fan Shop
44,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,3,59.99000168,0,2,Fitness
251,Brooks Women's Ghost 6 Running Shoe,Boxing & Mma,12,89.98999786,0,3,Footwear
403,Nike Men's CJ Elite 2 TD Football Cleat,Men'S Footwear,18,129.9900055,0,4,Apparel
957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,43,299.980011,0,7,Fan Shop
1352,Industrial consumer electronics,Consumer Electronics,65,252.8800049,0,10,Technology
1349,Web Camera,Cameras,62,452.0400085,0,10,Technology
1351,Dell Laptop,Computers,64,1500.0,0,10,Technology
60,SOLE E25 Elliptical,Basketball,4,999.9899902,0,2,Fitness
24,Elevation Training Mask 2.0,Soccer,2,79.98999786,0,2,Fitness
567,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,26,25.0,0,5,Golf
893,Team Golf Pittsburgh Steelers Putter Grip,Accessories,40,24.98999977,0,6,Outdoors
924,Glove It Urban Brick Golf Towel,Trade-In,41,15.98999977,0,6,Outdoors
905,Team Golf Texas Longhorns Putter Grip,Accessories,40,24.98999977,0,6,Outdoors
564,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,26,30.0,0,5,Golf
885,Team Golf St. Louis Cardinals Putter Grip,Accessories,40,24.98999977,0,6,Outdoors
1363,Summer dresses,Women'S Clothing,76,215.8200073,0,4,Apparel
1353,Porcelain crafts,Crafts,66,461.480011,0,4,Apparel
1357,Men's gala suit,Men'S Clothing,70,210.8500061,0,4,Apparel
906,Team Golf Tennessee Volunteers Putter Grip,Accessories,40,24.98999977,0,6,Outdoors
886,Team Golf San Francisco Giants Putter Grip,Accessories,40,24.98999977,0,6,Outdoors
926,Glove It Imperial Golf Towel,Trade-In,41,15.98999977,0,6,Outdoors
116,Nike Men's Comfort 2 Slide,Tennis & Racquet,6,44.99000168,0,2,Fitness
235,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,11,34.99000168,0,3,Footwear
273,Under Armour Kids' Mercenary Slide,Electronics,13,27.98999977,0,3,Footwear
282,Under Armour Women's Ignite PIP VI Slide,Electronics,13,31.98999977,0,3,Footwear
359,Nike Men's Free TR 5.0 TB Training Shoe,As Seen On  Tv!,16,99.98999786,0,3,Footwear
565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,26,70.0,0,5,Golf
572,TYR Boys' Team Digi Jammer,Girls' Apparel,26,39.99000168,0,5,Golf
804,Glove It Women's Imperial Golf Glove,Golf Balls,36,19.98999977,0,6,Outdoors
